value,position,phase,recall_prob
0.0,1,film,0.8494444489479065
0.0,2,film,0.7996031641960144
0.0,3,film,0.7853174805641174
0.0,4,film,0.7776190638542175
0.0,5,film,0.7726190686225891
0.0,6,film,0.7611904740333557
0.0,7,film,0.7637301683425903
0.0,8,film,0.7630952596664429
0.0,9,film,0.7566666603088379
0.0,10,film,0.7580158710479736
0.0,11,film,0.7490476369857788
0.0,12,film,0.7526984214782715
0.0,13,film,0.7460317611694336
0.0,14,film,0.7344444394111633
0.0,15,film,0.7233333587646484
0.0,16,film,0.7020635008811951
0.0,17,break,0.050238095223903656
0.0,18,break,0.024047618731856346
0.0,19,break,0.011111111380159855
0.0,20,break,0.006825396791100502
0.0,21,break,0.0045238095335662365
0.0,22,break,0.0031746032182127237
0.0,23,break,0.0016666667070239782
0.0,24,break,0.0006349206087179482
0.0,25,break,0.0002380952355451882
0.0,26,break,0.0002380952355451882
0.0,27,break,0.00015873015217948705
0.0,28,break,7.936507608974352e-05
0.0,29,break,0.0
0.0,30,break,0.0
0.0,31,break,0.0
0.0,32,break,0.0
0.0,33,interference,0.10682539641857147
0.0,34,interference,0.07611110806465149
0.0,35,interference,0.050238095223903656
0.0,36,interference,0.03658730164170265
0.0,37,interference,0.026111111044883728
0.0,38,interference,0.01944444514811039
0.0,39,interference,0.016746031120419502
0.0,40,interference,0.013730159029364586
0.0,41,interference,0.011190475896000862
0.0,42,interference,0.009841269813477993
0.0,43,interference,0.009365078993141651
0.0,44,interference,0.010476190596818924
0.0,45,interference,0.009682539850473404
0.0,46,interference,0.008809523656964302
0.0,47,interference,0.007698412518948317
0.0,48,interference,0.008492063730955124
0.0,49,filler,0.0016666667070239782
0.0,50,filler,0.0013492063153535128
0.0,51,filler,0.0011904762359336019
0.0,52,filler,0.0008730158442631364
0.0,53,filler,0.0010317460400983691
0.0,54,filler,0.0008730158442631364
0.0,55,filler,0.0007142857066355646
0.0,56,filler,0.0012698412174358964
0.0,57,filler,0.0023809524718672037
0.0,58,filler,0.0034920633770525455
0.0,59,filler,0.0049206349067389965
0.0,60,filler,0.007619047537446022
0.0,61,filler,0.012936508283019066
0.0,62,filler,0.021349206566810608
0.0,63,filler,0.04714285582304001
0.0,64,filler,0.10499999672174454
0.1111111111111111,1,film,0.8461904525756836
0.1111111111111111,2,film,0.790238082408905
0.1111111111111111,3,film,0.7839682698249817
0.1111111111111111,4,film,0.7706349492073059
0.1111111111111111,5,film,0.7687301635742188
0.1111111111111111,6,film,0.761904776096344
0.1111111111111111,7,film,0.7649206519126892
0.1111111111111111,8,film,0.7606348991394043
0.1111111111111111,9,film,0.7649999856948853
0.1111111111111111,10,film,0.7560317516326904
0.1111111111111111,11,film,0.7495238184928894
0.1111111111111111,12,film,0.7395238280296326
0.1111111111111111,13,film,0.7372221946716309
0.1111111111111111,14,film,0.7262698411941528
0.1111111111111111,15,film,0.717301607131958
0.1111111111111111,16,film,0.6979365348815918
0.1111111111111111,17,break,0.04857143014669418
0.1111111111111111,18,break,0.023253967985510826
0.1111111111111111,19,break,0.012460317462682724
0.1111111111111111,20,break,0.008333333767950535
0.1111111111111111,21,break,0.004761904943734407
0.1111111111111111,22,break,0.0035714285913854837
0.1111111111111111,23,break,0.0027777778450399637
0.1111111111111111,24,break,0.0024603174533694983
0.1111111111111111,25,break,0.0015873016091063619
0.1111111111111111,26,break,0.0013492063153535128
0.1111111111111111,27,break,0.0006349206087179482
0.1111111111111111,28,break,0.0007936508045531809
0.1111111111111111,29,break,0.0009523809421807528
0.1111111111111111,30,break,0.0010317460400983691
0.1111111111111111,31,break,0.0007142857066355646
0.1111111111111111,32,break,0.0009523809421807528
0.1111111111111111,33,interference,0.06793650984764099
0.1111111111111111,34,interference,0.06492063403129578
0.1111111111111111,35,interference,0.049444444477558136
0.1111111111111111,36,interference,0.0376984141767025
0.1111111111111111,37,interference,0.028888888657093048
0.1111111111111111,38,interference,0.024523809552192688
0.1111111111111111,39,interference,0.022063491865992546
0.1111111111111111,40,interference,0.018809523433446884
0.1111111111111111,41,interference,0.015714285895228386
0.1111111111111111,42,interference,0.014523809775710106
0.1111111111111111,43,interference,0.012063492089509964
0.1111111111111111,44,interference,0.012142857536673546
0.1111111111111111,45,interference,0.013888888992369175
