value,position,phase,recall_prob
0,1,film,0.2985714375972748
0,2,film,0.2539682686328888
0,3,film,0.22904762625694275
0,4,film,0.21373015642166138
0,5,film,0.2030952423810959
0,6,film,0.18968254327774048
0,7,film,0.17841270565986633
0,8,film,0.1807936578989029
0,9,film,0.17793650925159454
0,10,film,0.17325396835803986
0,11,film,0.1721428632736206
0,12,film,0.16809523105621338
0,13,film,0.18111111223697662
0,14,film,0.1825396865606308
0,15,film,0.1944444477558136
0,16,film,0.206825390458107
0,17,break,0.0
0,18,break,0.0
0,19,break,0.0
0,20,break,0.0
0,21,break,0.0
0,22,break,0.0
0,23,break,0.0
0,24,break,0.0
0,25,break,0.0
0,26,break,0.0
0,27,break,0.0
0,28,break,0.0
0,29,break,0.0
0,30,break,0.0
0,31,break,0.0
0,32,break,0.0
0,33,break,0.0
0,34,break,0.0
0,35,break,0.0
0,36,break,0.0
0,37,break,0.0
0,38,break,0.0
0,39,break,0.0
0,40,break,0.0
0,41,break,0.0
0,42,break,0.0
0,43,break,0.0
0,44,break,0.0
0,45,break,0.0
0,46,break,0.0
0,47,break,0.0
0,48,break,0.0
0,49,interference,0.3126984238624573
0,50,interference,0.3357936441898346
0,51,interference,0.3538888990879059
0,52,interference,0.36476191878318787
0,53,interference,0.3630158603191376
0,54,interference,0.38507935404777527
0,55,interference,0.38499999046325684
0,56,interference,0.3990476131439209
0,57,interference,0.39896824955940247
0,58,interference,0.3938095271587372
0,59,interference,0.398333340883255
0,60,interference,0.39595237374305725
0,61,interference,0.39547619223594666
0,62,interference,0.3950793743133545
0,63,interference,0.37714284658432007
0,64,interference,0.37460318207740784
0,65,filler,0.2083333283662796
0,66,filler,0.18222221732139587
0,67,filler,0.17817460000514984
0,68,filler,0.16857142746448517
0,69,filler,0.17349205911159515
0,70,filler,0.17801587283611298
0,71,filler,0.17777778208255768
0,72,filler,0.17428570985794067
0,73,filler,0.17873015999794006
0,74,filler,0.18753968179225922
0,75,filler,0.1937301605939865
0,76,filler,0.20420634746551514
0,77,filler,0.23650793731212616
0,78,filler,0.2715873122215271
0,79,filler,0.38238096237182617
0,80,filler,0.6051587462425232
4,1,film,0.29253968596458435
4,2,film,0.24166665971279144
4,3,film,0.21722222864627838
4,4,film,0.19563491642475128
4,5,film,0.1882539689540863
4,6,film,0.18039682507514954
4,7,film,0.17499999701976776
4,8,film,0.16603174805641174
4,9,film,0.1629365086555481
4,10,film,0.16301587224006653
4,11,film,0.15976190567016602
4,12,film,0.1656349152326584
4,13,film,0.167142853140831
4,14,film,0.17325396835803986
4,15,film,0.1889682561159134
4,16,film,0.20595237612724304
4,17,break,0.16055555641651154
4,18,break,0.15285713970661163
4,19,break,0.14325396716594696
4,20,break,0.13706348836421967
4,21,break,0.0
4,22,break,0.0
4,23,break,0.0
4,24,break,0.0
4,25,break,0.0
4,26,break,0.0
4,27,break,0.0
4,28,break,0.0
4,29,break,0.0
4,30,break,0.0
4,31,break,0.0
4,32,break,0.0
4,33,break,0.0
4,34,break,0.0
4,35,break,0.0
4,36,break,0.0
4,37,break,0.0
4,38,break,0.0
4,39,break,0.0
4,40,break,0.0
4,41,break,0.0
4,42,break,0.0
4,43,break,0.0
4,44,break,0.0
4,45,break,0.0
4,46,break,0.0
4,47,break,0.0
4,48,break,0.0
4,49,interference,0.30269840359687805
4,50,interference,0.3248412609100342
4,51,interference,0.3447619080543518
4,52,interference,0.35499998927116394
4,53,interference,0.3645237982273102
4,54,interference,0.3696031868457794
4,55,interference,0.3696031868457794
4,56,interference,0.37706348299980164
4,57,interference,0.3790476322174072
4,58,interference,0.3777777850627899
4,59,interference,0.381507933139801
4,60,interference,0.37484127283096313
4,61,interference,0.3724603056907654
4,62,interference,0.3657936453819275
4,63,interference,0.35777777433395386
4,64,interference,0.35349205136299133
4,65,filler,0.20095238089561462
4,66,filler,0.16944444179534912
4,67,filler,0.1642063558101654
4,68,filler,0.15690475702285767
4,69,filler,0.16373015940189362
4,70,filler,0.15785714983940125
4,71,filler,0.1565079391002655
4,72,filler,0.16309523582458496
4,73,filler,0.16968253254890442
4,74,filler,0.16777777671813965
4,75,filler,0.18198412656784058
4,76,filler,0.19849206507205963
4,77,filler,0.21468253433704376
4,78,filler,0.267380952835083
4,79,filler,0.36738094687461853
4,80,filler,0.5974603295326233
8,1,film,0.2810317575931549
8,2,film,0.2323809564113617
8,3,film,0.21190476417541504
8,4,film,0.19531746208667755
8,5,film,0.18365079164505005
8,6,film,0.17499999701976776
8,7,film,0.17269840836524963
8,8,film,0.16380952298641205
8,9,film,0.16079364717006683
8,10,film,0.15976190567016602
8,11,film,0.15571428835391998
8,12,film,0.1569841206073761
8,13,film,0.15968254208564758
8,14,film,0.17134921252727509
8,15,film,0.18706348538398743
8,16,film,0.19476190209388733
8,17,break,0.16134920716285706
8,18,break,0.15174603462219238
8,19,break,0.15000000596046448
8,20,break,0.14515872299671173
8,21,break,0.14222222566604614
8,22,break,0.13952380418777466
8,23,break,0.14341269433498383
8,24,break,0.14007936418056488
8,25,break,0.0
8,26,break,0.0
8,27,break,0.0
8,28,break,0.0
8,29,break,0.0
8,30,break,0.0
8,31,break,0.0
8,32,break,0.0
8,33,break,0.0
8,34,break,0.0
8,35,break,0.0
8,36,break,0.0
8,37,break,0.0
8,38,break,0.0
8,39,break,0.0
8,40,break,0.0
8,41,break,0.0
8,42,break,0.0
8,43,break,0.0
8,44,break,0.0
8,45,break,0.0
8,46,break,0.0
8,47,break,0.0
8,48,break,0.0
8,49,interference,0.29023808240890503
8,50,interference,0.3078571557998657
8,51,interference,0.31706348061561584
8,52,interference,0.3325396776199341
8,53,interference,0.3388095200061798
8,54,interference,0.347777783870697
8,55,interference,0.3503968119621277
8,56,interference,0.3543650805950165
8,57,interference,0.35698413848876953
8,58,interference,0.3531745970249176
8,59,interference,0.3517460227012634
8,60,interference,0.35285714268684387
8,61,interference,0.3452380895614624
8,62,interference,0.34460318088531494
8,63,interference,0.3362698554992676
8,64,interference,0.3362698554992676
8,65,filler,0.18761904537677765
8,66,filler,0.16706348955631256
8,67,filler,0.1584920585155487
8,68,filler,0.15952381491661072
8,69,filler,0.15539681911468506
8,70,filler,0.15642857551574707
8,71,filler,0.15563492476940155
8,72,filler,0.15944445133209229
8,73,filler,0.16261905431747437
8,74,filler,0.16547618806362152
8,75,filler,0.18063491582870483
8,76,filler,0.18190476298332214
8,77,filler,0.20817460119724274
8,78,filler,0.2522222101688385
8,79,filler,0.35706350207328796
8,80,filler,0.5811111330986023
12,1,film,0.2765079438686371
12,2,film,0.22976189851760864
12,3,film,0.1969047635793686
12,4,film,0.17873015999794006
12,5,film,0.16523809731006622
12,6,film,0.17341269552707672
12,7,film,0.15984126925468445
12,8,film,0.15579365193843842
12,9,film,0.15373015403747559
12,10,film,0.14841270446777344
12,11,film,0.15182539820671082
12,12,film,0.14142857491970062
12,13,film,0.15928570926189423
12,14,film,0.15952381491661072
12,15,film,0.17349205911159515
12,16,film,0.18682539463043213
12,17,break,0.16158729791641235
12,18,break,0.14365079998970032
12,19,break,0.14301587641239166
12,20,break,0.13920634984970093
12,21,break,0.13396824896335602
12,22,break,0.13658730685710907
12,23,break,0.13380952179431915
12,24,break,0.13777777552604675
12,25,break,0.13388888537883759
12,26,break,0.1353968232870102
12,27,break,0.13706348836421967
12,28,break,0.1307142823934555
12,29,break,0.0
12,30,break,0.0
12,31,break,0.0
12,32,break,0.0
12,33,break,0.0
12,34,break,0.0
12,35,break,0.0
12,36,break,0.0
12,37,break,0.0
12,38,break,0.0
12,39,break,0.0
12,40,break,0.0
12,41,break,0.0
12,42,break,0.0
12,43,break,0.0
12,44,break,0.0
12,45,break,0.0
12,46,break,0.0
12,47,break,0.0
12,48,break,0.0
12,49,interference,0.27341270446777344
12,50,interference,0.28682538866996765
12,51,interference,0.30095237493515015
12,52,interference,0.3199999928474426
12,53,interference,0.3182539641857147
12,54,interference,0.3284127116203308
12,55,interference,0.3316666781902313
12,56,interference,0.33500000834465027
12,57,interference,0.34190475940704346
12,58,interference,0.339206337928772
12,59,interference,0.33746030926704407
12,60,interference,0.3305555582046509
12,61,interference,0.3298412561416626
12,62,interference,0.3237301707267761
12,63,interference,0.32531747221946716
12,64,interference,0.3127777874469757
12,65,filler,0.18269841372966766
12,66,filler,0.15365079045295715
12,67,filler,0.15174603462219238
12,68,filler,0.15595237910747528
12,69,filler,0.14761905372142792
