value,position,phase,recall_prob
0,1,film,0.2872222363948822
0,2,film,0.20928572118282318
0,3,film,0.19285714626312256
0,4,film,0.18515872955322266
0,5,film,0.1743650734424591
0,6,film,0.169603168964386
0,7,film,0.17944444715976715
0,8,film,0.18087302148342133
0,9,film,0.18269841372966766
0,10,film,0.18595238029956818
0,11,film,0.1865079402923584
0,12,film,0.18539682030677795
0,13,film,0.18134920299053192
0,14,film,0.1842857152223587
0,15,film,0.19571428000926971
0,16,film,0.18396826088428497
0,17,interference,0.16103175282478333
0,18,interference,0.15380951762199402
0,19,interference,0.1569841206073761
0,20,interference,0.14960317313671112
0,21,interference,0.14984126389026642
0,22,interference,0.14960317313671112
0,23,interference,0.15396825969219208
0,24,interference,0.14769841730594635
0,25,interference,0.14865079522132874
0,26,interference,0.14317460358142853
0,27,interference,0.15079365670681
0,28,interference,0.15269841253757477
0,29,interference,0.15079365670681
0,30,interference,0.1525396853685379
0,31,interference,0.15492063760757446
0,32,interference,0.1639682501554489
4,1,film,0.31730160117149353
4,2,film,0.2314285784959793
4,3,film,0.20158730447292328
4,4,film,0.184523805975914
4,5,film,0.18134920299053192
4,6,film,0.17317460477352142
4,7,film,0.17126983404159546
4,8,film,0.16190476715564728
4,9,film,0.17031745612621307
4,10,film,0.16761904954910278
4,11,film,0.1669047623872757
4,12,film,0.17373016476631165
4,13,film,0.16674603521823883
4,14,film,0.17103174328804016
4,15,film,0.17269840836524963
4,16,film,0.1701587289571762
4,17,interference,0.15420635044574738
4,18,interference,0.15468254685401917
4,19,interference,0.1495238095521927
4,20,interference,0.15063491463661194
4,21,interference,0.14380952715873718
4,22,interference,0.1455555558204651
4,23,interference,0.1490476131439209
4,24,interference,0.14960317313671112
4,25,interference,0.1520634889602661
4,26,interference,0.14293651282787323
4,27,interference,0.14801587164402008
4,28,interference,0.1461111158132553
4,29,interference,0.14984126389026642
4,30,interference,0.14674602448940277
4,31,interference,0.15047618746757507
4,32,interference,0.15142856538295746
8,1,film,0.30396825075149536
8,2,film,0.23047618567943573
8,3,film,0.20603173971176147
8,4,film,0.18460316956043243
8,5,film,0.17166666686534882
8,6,film,0.16809523105621338
8,7,film,0.16809523105621338
8,8,film,0.16007936000823975
8,9,film,0.1688888818025589
8,10,film,0.162222221493721
8,11,film,0.15761904418468475
8,12,film,0.15992063283920288
8,13,film,0.1629365086555481
8,14,film,0.1604761928319931
8,15,film,0.16253967583179474
8,16,film,0.1614285707473755
8,17,interference,0.15460316836833954
8,18,interference,0.14563491940498352
8,19,interference,0.13920634984970093
8,20,interference,0.1453174650669098
8,21,interference,0.14126984775066376
8,22,interference,0.14190475642681122
8,23,interference,0.14103174209594727
8,24,interference,0.13992063701152802
8,25,interference,0.14222222566604614
8,26,interference,0.13825397193431854
8,27,interference,0.14277777075767517
8,28,interference,0.14341269433498383
8,29,interference,0.13904762268066406
8,30,interference,0.14119046926498413
8,31,interference,0.136428564786911
8,32,interference,0.14253968000411987
12,1,film,0.2934126853942871
12,2,film,0.22436508536338806
12,3,film,0.18968254327774048
12,4,film,0.17023809254169464
12,5,film,0.16238094866275787
12,6,film,0.16158729791641235
12,7,film,0.15317460894584656
12,8,film,0.15420635044574738
12,9,film,0.14984126389026642
12,10,film,0.15222221612930298
12,11,film,0.15309524536132812
12,12,film,0.15039682388305664
12,13,film,0.1545238047838211
12,14,film,0.15761904418468475
12,15,film,0.15468254685401917
12,16,film,0.1510317474603653
12,17,interference,0.14293651282787323
12,18,interference,0.1391269862651825
12,19,interference,0.13634920120239258
12,20,interference,0.13484126329421997
12,21,interference,0.12976190447807312
12,22,interference,0.13634920120239258
12,23,interference,0.1353968232870102
12,24,interference,0.1366666704416275
12,25,interference,0.1361904740333557
12,26,interference,0.13555555045604706
12,27,interference,0.13531745970249176
12,28,interference,0.13603174686431885
12,29,interference,0.1361904740333557
12,30,interference,0.1311904788017273
12,31,interference,0.13484126329421997
12,32,interference,0.13857142627239227
16,1,film,0.2802380919456482
16,2,film,0.21214285492897034
16,3,film,0.18634921312332153
16,4,film,0.16825397312641144
16,5,film,0.1584920585155487
16,6,film,0.14492063224315643
16,7,film,0.14341269433498383
16,8,film,0.1450793594121933
16,9,film,0.14571428298950195
16,10,film,0.14626984298229218
16,11,film,0.15341269969940186
16,12,film,0.14746031165122986
16,13,film,0.14523810148239136
16,14,film,0.15222221612930298
16,15,film,0.1488095223903656
16,16,film,0.1413492113351822
16,17,interference,0.14007936418056488
16,18,interference,0.13388888537883759
16,19,interference,0.12904761731624603
16,20,interference,0.12809523940086365
16,21,interference,0.1302381008863449
16,22,interference,0.12984126806259155
16,23,interference,0.1304761916399002
16,24,interference,0.1314285695552826
16,25,interference,0.130952388048172
16,26,interference,0.1269841343164444
16,27,interference,0.12984126806259155
16,28,interference,0.13007935881614685
16,29,interference,0.12928570806980133
16,30,interference,0.13587301969528198
16,31,interference,0.13920634984970093
16,32,interference,0.1331745982170105
20,1,film,0.27468255162239075
20,2,film,0.20579364895820618
20,3,film,0.17690476775169373
20,4,film,0.15833333134651184
20,5,film,0.14896824955940247
20,6,film,0.1463492065668106
20,7,film,0.14452381432056427
20,8,film,0.14166666567325592
20,9,film,0.1441269814968109
20,10,film,0.14325396716594696
20,11,film,0.1433333307504654
20,12,film,0.14619047939777374
20,13,film,0.1403968185186386
20,14,film,0.13801586627960205
20,15,film,0.14253968000411987
20,16,film,0.14047619700431824
20,17,interference,0.13134920597076416
20,18,interference,0.12952381372451782
20,19,interference,0.12444444745779037
20,20,interference,0.125
20,21,interference,0.127460315823555
20,22,interference,0.12492063641548157
20,23,interference,0.13333334028720856
20,24,interference,0.12507936358451843
20,25,interference,0.1272222250699997
20,26,interference,0.12690475583076477
20,27,interference,0.12484127283096313
20,28,interference,0.12714286148548126
20,29,interference,0.1304761916399002
20,30,interference,0.12412698566913605
20,31,interference,0.127460315823555
20,32,interference,0.13079364597797394
24,1,film,0.26603174209594727
24,2,film,0.19960317015647888
24,3,film,0.17341269552707672
24,4,film,0.14984126389026642
24,5,film,0.14825396239757538
24,6,film,0.1369047611951828
