value,position,phase,recall_prob
0.0,1,film,0.33500000834465027
0.0,2,film,0.2829365134239197
0.0,3,film,0.25777778029441833
0.0,4,film,0.23555555939674377
0.0,5,film,0.2269047647714615
0.0,6,film,0.2182539701461792
0.0,7,film,0.21857142448425293
0.0,8,film,0.2175396829843521
0.0,9,film,0.21722222864627838
0.0,10,film,0.21269841492176056
0.0,11,film,0.21642857789993286
0.0,12,film,0.2088095247745514
0.0,13,film,0.21436507999897003
0.0,14,film,0.21158729493618011
0.0,15,film,0.20738095045089722
0.0,16,film,0.20341269671916962
0.0,17,break,0.1991269886493683
0.0,18,break,0.1897619068622589
0.0,19,break,0.1922222226858139
0.0,20,break,0.18666666746139526
0.0,21,break,0.18484127521514893
0.0,22,break,0.1812698394060135
0.0,23,break,0.18015873432159424
0.0,24,break,0.17896825075149536
0.0,25,break,0.1865079402923584
0.0,26,break,0.18261905014514923
0.0,27,break,0.1800793707370758
0.0,28,break,0.18214285373687744
0.0,29,break,0.1785714328289032
0.0,30,break,0.17873015999794006
0.0,31,break,0.18095238506793976
0.0,32,break,0.17976190149784088
0.0,33,interference,0.1500793695449829
0.0,34,interference,0.15333333611488342
0.0,35,interference,0.14912697672843933
0.0,36,interference,0.153253972530365
0.0,37,interference,0.153253972530365
0.0,38,interference,0.14563491940498352
0.0,39,interference,0.15015873312950134
0.0,40,interference,0.14452381432056427
0.0,41,interference,0.14849206805229187
0.0,42,interference,0.14587301015853882
0.0,43,interference,0.1465872973203659
0.0,44,interference,0.1433333307504654
0.0,45,interference,0.15198412537574768
0.0,46,interference,0.1433333307504654
0.0,47,interference,0.14888888597488403
0.0,48,interference,0.15015873312950134
0.0,49,filler,0.21412698924541473
0.0,50,filler,0.19984127581119537
0.0,51,filler,0.19253967702388763
0.0,52,filler,0.19261904060840607
0.0,53,filler,0.18865078687667847
0.0,54,filler,0.19547618925571442
0.0,55,filler,0.19507937133312225
0.0,56,filler,0.20007936656475067
0.0,57,filler,0.20317460596561432
0.0,58,filler,0.2048412710428238
0.0,59,filler,0.21047618985176086
0.0,60,filler,0.22412697970867157
0.0,61,filler,0.24388888478279114
0.0,62,filler,0.2849999964237213
0.0,63,filler,0.380476176738739
0.0,64,filler,0.597777783870697
0.3333333333333333,1,film,0.3335714340209961
0.3333333333333333,2,film,0.27023810148239136
0.3333333333333333,3,film,0.25055554509162903
0.3333333333333333,4,film,0.22960317134857178
0.3333333333333333,5,film,0.21841269731521606
0.3333333333333333,6,film,0.22039683163166046
0.3333333333333333,7,film,0.20714285969734192
0.3333333333333333,8,film,0.20150794088840485
0.3333333333333333,9,film,0.20380952954292297
0.3333333333333333,10,film,0.1988888829946518
0.3333333333333333,11,film,0.20103174448013306
0.3333333333333333,12,film,0.20230159163475037
0.3333333333333333,13,film,0.20928572118282318
0.3333333333333333,14,film,0.2046031802892685
0.3333333333333333,15,film,0.1988888829946518
0.3333333333333333,16,film,0.20428571105003357
0.3333333333333333,17,break,0.192936509847641
0.3333333333333333,18,break,0.1847619116306305
0.3333333333333333,19,break,0.18174603581428528
0.3333333333333333,20,break,0.18119047582149506
0.3333333333333333,21,break,0.17873015999794006
0.3333333333333333,22,break,0.18285714089870453
0.3333333333333333,23,break,0.17801587283611298
0.3333333333333333,24,break,0.1803174614906311
0.3333333333333333,25,break,0.17626984417438507
0.3333333333333333,26,break,0.1785714328289032
0.3333333333333333,27,break,0.18134920299053192
0.3333333333333333,28,break,0.1800793707370758
0.3333333333333333,29,break,0.17499999701976776
0.3333333333333333,30,break,0.1775396764278412
0.3333333333333333,31,break,0.17325396835803986
0.3333333333333333,32,break,0.1721428632736206
0.3333333333333333,33,interference,0.17404761910438538
0.3333333333333333,34,interference,0.17380952835083008
0.3333333333333333,35,interference,0.16809523105621338
0.3333333333333333,36,interference,0.17126983404159546
0.3333333333333333,37,interference,0.1688888818025589
0.3333333333333333,38,interference,0.16738095879554749
0.3333333333333333,39,interference,0.16920635104179382
0.3333333333333333,40,interference,0.167142853140831
