value,mean,ci_lower,ci_upper
10,3.6368253231048584,3.427495897114277,3.8461547490954398
12,3.4758734703063965,3.2719916573166845,3.6797552832961085
14,3.388254165649414,3.1885145181417465,3.5879938131570817
16,3.254920721054077,3.057034153342247,3.452807288765907
18,3.1339685916900635,2.9436948150396347,3.3242423683404922
20,3.0532541275024414,2.8595928025245665,3.2469154524803163
22,2.965635061264038,2.777143247127533,3.1541268754005434
24,2.8942856788635254,2.708648982644081,3.07992237508297
26,2.7853176593780518,2.608347837924957,2.9622874808311463
28,2.758730411529541,2.5790021449327467,2.9384586781263353
30,2.684285879135132,2.5046894058585165,2.863882352411747
32,2.621746063232422,2.4484809118509294,2.7950112146139143
