value,position,phase,recall_prob
10,1,film,0.2800000011920929
10,2,film,0.2467460334300995
10,3,film,0.23269841074943542
10,4,film,0.21730159223079681
10,5,film,0.20865079760551453
10,6,film,0.2065872997045517
10,7,film,0.2030952423810959
10,8,film,0.19857142865657806
10,9,film,0.1981745958328247
10,10,film,0.19873015582561493
10,11,film,0.19285714626312256
10,12,film,0.19857142865657806
10,13,film,0.19015872478485107
10,14,film,0.18833333253860474
10,15,film,0.19499999284744263
10,16,film,0.1810317486524582
10,17,interference,0.17888888716697693
10,18,interference,0.1748412698507309
10,19,interference,0.17523810267448425
10,20,interference,0.17896825075149536
10,21,interference,0.18047618865966797
10,22,interference,0.17373016476631165
10,23,interference,0.17769841849803925
10,24,interference,0.17492063343524933
10,25,interference,0.17825396358966827
10,26,interference,0.17865079641342163
10,27,interference,0.17396825551986694
10,28,interference,0.1788095235824585
10,29,interference,0.1778571456670761
10,30,interference,0.1743650734424591
10,31,interference,0.16920635104179382
10,32,interference,0.16785714030265808
10,33,interference,0.23690475523471832
10,34,interference,0.19809523224830627
10,35,interference,0.1942063421010971
10,36,interference,0.18436507880687714
10,37,interference,0.1785714328289032
10,38,interference,0.1815079301595688
10,39,interference,0.18063491582870483
10,40,interference,0.1815079301595688
10,41,interference,0.17952381074428558
10,42,interference,0.1882539689540863
10,43,interference,0.0
10,44,interference,0.0
10,45,interference,0.0
10,46,interference,0.0
10,47,interference,0.0
10,48,interference,0.0
12,1,film,0.278253972530365
12,2,film,0.23888888955116272
12,3,film,0.22253967821598053
12,4,film,0.21126984059810638
12,5,film,0.20746031403541565
12,6,film,0.19698412716388702
12,7,film,0.1895238161087036
12,8,film,0.19190476834774017
12,9,film,0.18309523165225983
12,10,film,0.1842857152223587
12,11,film,0.18484127521514893
12,12,film,0.18809524178504944
12,13,film,0.18420635163784027
12,14,film,0.17539682984352112
12,15,film,0.18087302148342133
12,16,film,0.18484127521514893
12,17,interference,0.18238095939159393
12,18,interference,0.18269841372966766
12,19,interference,0.17206348478794098
12,20,interference,0.17142857611179352
12,21,interference,0.17746031284332275
12,22,interference,0.16920635104179382
12,23,interference,0.17531746625900269
12,24,interference,0.17301587760448456
12,25,interference,0.17341269552707672
12,26,interference,0.17071428894996643
12,27,interference,0.1763492077589035
12,28,interference,0.16880951821804047
12,29,interference,0.168174609541893
12,30,interference,0.16698412597179413
12,31,interference,0.170634925365448
12,32,interference,0.16206349432468414
12,33,interference,0.2224603146314621
12,34,interference,0.19706349074840546
12,35,interference,0.18071427941322327
12,36,interference,0.17793650925159454
12,37,interference,0.17492063343524933
12,38,interference,0.1778571456670761
12,39,interference,0.1750793606042862
12,40,interference,0.17158730328083038
12,41,interference,0.18095238506793976
12,42,interference,0.17690476775169373
12,43,interference,0.17373016476631165
12,44,interference,0.17230159044265747
12,45,interference,0.0
12,46,interference,0.0
12,47,interference,0.0
12,48,interference,0.0
14,1,film,0.266825407743454
14,2,film,0.2378571480512619
14,3,film,0.22063492238521576
14,4,film,0.20468254387378693
14,5,film,0.1979365050792694
14,6,film,0.19634920358657837
14,7,film,0.19380952417850494
14,8,film,0.18666666746139526
14,9,film,0.1815873086452484
14,10,film,0.18396826088428497
14,11,film,0.1852380931377411
14,12,film,0.17912697792053223
14,13,film,0.17404761910438538
14,14,film,0.18119047582149506
14,15,film,0.18515872955322266
14,16,film,0.17539682984352112
14,17,interference,0.16952380537986755
14,18,interference,0.17007936537265778
14,19,interference,0.16873015463352203
14,20,interference,0.16904762387275696
14,21,interference,0.16896826028823853
14,22,interference,0.16579365730285645
14,23,interference,0.16944444179534912
14,24,interference,0.16674603521823883
14,25,interference,0.1691269874572754
14,26,interference,0.16611111164093018
14,27,interference,0.16634920239448547
14,28,interference,0.1651587337255478
14,29,interference,0.1659523844718933
